Id,Station,Gender,Helmet,Location,Comments,CreatedDate,Column1,Column2,Column3,,Time
98,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:29:14 AM,9
99,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:29:21 AM,9
100,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:29:37 AM,9
101,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:29:53 AM,9
102,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:30:17 AM,9
103,Location 4: Regents Drive at Main Administration,Female,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:30:21 AM,9
104,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:32:03 AM,9
105,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:36:33 AM,9
106,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:36:49 AM,9
107,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:37:49 AM,9
108,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:39:15 AM,9
109,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:43:52 AM,9
110,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:46:06 AM,9
111,Location 4: Regents Drive at Main Administration,Male,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:47:35 AM,9
112,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:51:30 AM,9
113,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:55:01 AM,9
114,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:57:35 AM,9
115,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:57:39 AM,9
116,Location 4: Regents Drive at Main Administration,Female,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:58:37 AM,9
117,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:58:45 AM,9
